id,word,pos,def,zh,level,sentence
v_1,negotiate,verb,to try to reach an agreement by discussion with others,談判,intermediate,"The companies decided to ___ a new contract."
v_2,deadline,noun,a date or time by which something must be done,截止日期,intermediate,"We need to meet the project ___ by Friday."
v_3,proposal,noun,a plan or suggestion,提出,advanced,"The team submitted a detailed ___ for the new initiative."
v_4,invoice,noun,a list of goods sent or services provided, with a statement of the sum due for these; a bill,發票,intermediate,"Please send the ___ to the accounting department."
v_5,resume,noun,a short written account of one's education, working experience, or qualifications for a job,履歷,beginner,"Applicants should submit their ___ and cover letter."
v_6,confirm,verb,to state or show that something is definitely true or correct,確認,intermediate,"Could you please ___ your appointment for tomorrow?"
v_7,strategy,noun,a plan of action or policy designed to achieve a major or overall aim,策略,advanced,"The marketing team developed a new ___ to increase sales."
v_8,budget,noun,an estimate of income and expenditure for a set period of time,預算,intermediate,"We need to stay within the allocated ___ for this quarter."
v_9,collaborate,verb,to work jointly on an activity or project,合作,advanced,"The two departments decided to ___ on the research project."
v_10,feedback,noun,information about reactions to a product, a person's performance of a task, etc., used as a basis for improvement,回饋,intermediate,"We appreciate your ___ on our new service."
